construction  future economic zones fuels position  cpec opponents tht declare tht it  nt linking f economic hubs  corridorcont	1
parliamentary committee formed  legislation  protect rights  local populace  gwadar  cpec   good way 	1
cpec  higher economic growth   expected  pakistan  worldbank    	1
gwadar  heart  asia  cpec  rising sun   world  just  trade hub  china  will also  	1
pakistan predicted   world’s fastestgrowing muslim economy   	1
cpec will  proved   positive change  pakistan  it will also increase intl relations  make it  good  strengthend	1
cpec will bring peace  prosperity  pakistan needofnationalunity  make cpec project successful 	1
 countries   region will  united  will get benefits  cpec project except india cpechurtingindia 	1
united  stand  cpec risingpakistan 	1
mustread   much benefits  pakistans economy likely  reap  cpec   indepth aand impartial analysis 	1
shahbazsharif says cpec  proving game changer  country	1
 china  setup  large steel factory  gwadar chinese envoy  pakistan pakistan cpec  	1
pakchina project cpec  smoothly  steadily heading towards  destiny hopes  high  ia pakistan will prosper 	1
 far  security   cpec  concerned pakistan  made every effort  provide adequate security   project	1
china satisfied  pakistans security arrangements  cpec ambassador  pakistan… 	1
rough estimates suggest   far rs billion worth tax exemptions   given  cpecrelated projects cpec 	2
 happy  see lahoreairport biz lounge full  foreigners   mostly chinese cpec	1
cm kp pervez khattak chairing  meeting  discuss working group  cpec 	2
 pak china friendship zindabad cpec	1
china expresses satisfaction  security  	1
indeed pak will proudly perform  nation building sacred responsibilities  will ensure safety  cpec  all… 	1
 cpec   life line project  people  pakistan  propaganda against it  tantamount  harm country  development  	1
economic analyists predict        luckiest years  pakistan economycpec	1
google offers services  digitalize pakistans economic activity pakistan google digitaleconomy digital cpec	1
 worry      making cpec azadmedia  report 	3
china rules  waves  worldwide port investments  great maritime power cpec gwadar pakistan   	1
chinese language   taught  karakourm international university gilgit  major   graduate students… 	2
according   opinion   completion  cpec  china  pakistan will  like usa  canada respectively	1
 great new asia emerging due  china policy  obor  cpec	1
thats  pity  academia   planning ahead hecpkofficial betterpakistan cpec 	1
chines trying  speak urdu end  hilariouscpec 	2
 god forbid pmln wins election thers  gd chance  constrct motorway ovr cpec  wellcmshehbaz… 	2
 inshallah     cpec  it requires  hard work  dedication	1
 balochistan  showing  love  pakistan  hate  india cpec will boost progress  balochistan kashmirconffsd	1
   yrs russia  sought access   warm waters  arabian sea  dream  will  realised  it joins cpec  pakistan china	2
shangrila resorts skardu pakistancpec will undoubtedly open new doors  boost tourism  pakistanphoto 	1
 coas sells deal  remote baluchistan  cpec it  bring prosperity  stability  khuzdarseminar	1
   issues  just tell   ask  govt     official representative  cpec   just ignore	2
china will benefit hugely  thus needs cpec   pakistanis   it  always pakistan  call it  game changer 	1
planning minister says cpec will usher  new avenues  investment  development  	1
 modern technology  used  cpec projects  reduce pollution  betterpakistan 	1
pakistans st deep water container terminal will  operational  april dailyaajupdates cpec 	2
cpec   nourishing resentment  small provinces due  incompetency  favoritism  govt   making… 	3
mr mir mohammad ali khan clearing doubts regarding cpecbreakingtodayat bol news 	1
 clear message   enemies  compromise  cpec securitytwo chinese ships arrive  gwadar port security 	1
 just returned  gwadar   agree  roads open opportunities balochistan s road  success  cpec… 	1
 game  changing first trade activity  cpec  route gwadar china pakistan 	1
pakistan approves russias request  use gwadar portchina pakistan russia cpec 	1
 says cpec project will push pakistan towards development	1
coastal highway  gawadar looking  eyes  princess  hope   waiting   milliniaum  welcome cpec 	1
cpec opportunity comes  centuries  betterpakistan 	1
china protecting assets cpec	2
eurasian economic union merged   cpec  china media pakistan approved russias request  use gwadar port… 	1
international container terminal  karachi port karachi china pakistani pakistan cpec night islamabad… 	2
environmental protection  ensured  cpec  betterpakistan 	1
china continues  fuel pakistan  secure  strategic interests   else pakistan wants cpec chinakapakistan 	1
navtcc  provides training   cpecspecific trades   institutes across  country 	1
indeed sir new era  devp prosperity started  baluchistan wish   best  ppl  areacpec 	1
 says successful completion  cpec will make pakistans development irreversible betterpakistan	1
 peacefulpakistanahead  lost many specials     also gain  much cpec peace trade etc	1
